Well,Field ID,Collection Date,Exact Site,Collection Method,Latitude,Longitude,Depth,Country/Ocean,State/Province,Region,Sector
A01,CBC-KJ-1Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
B01,CBC-KJ-2Stn1a,01/14/10,"CBC Reef,  sheltered, within a foot distance from coral overhangs",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
C01,CBC-KJ-3Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
D01,CBC-KJ-3Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
E01,CBC-KJ-3Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
F01,CBC-KJ-3Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
G01,CBC-KJ-3Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
H01,CBC-KJ-3Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
A02,CBC-KJ-4Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
B02,CBC-KJ-5Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
C02,CBC-KJ-5Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
D02,CBC-KJ-5Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
E02,CBC-KJ-5Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
F02,CBC-KJ-6Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
G02,CBC-KJ-7Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
H02,CBC-KJ-8Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
A03,CBC-KJ-9Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
B03,CBC-KJ-10Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
C03,CBC-KJ-10Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
D03,CBC-KJ-10Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
E03,CBC-KJ-11Stn3,01/15/10,,Collected with divers,16.804,88.077,,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
F03,CBC-KJ-9 Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
G03,CBC-KJ-9 Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
H03,CBC-KJ-2Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
A04,CBC-KJ-9 Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
B04,CBC-KJ-9 Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
C04,CBC-KJ-9 Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
D04,CBC-KJ-12Stn1b,01/14/10,"CBC Reef, open plain",Collected with divers,16.802,88.079,-10,North and Central America/Caribbean Sea,Belize,Belize,Carry Bow Cay
