Well,Field ID,Collection Date,Collection Station,Exact Site,Collection Method,Latitude,Longitude,LatDec,LongDec,Elevation/Depth,Continent/Ocean,Country,State/Province,Region,Sector
A01,BRS-KJ001,6/7/10,BRS2010-100,Bird Rock,Collected with divers,9d27.5'N,82d18.0'W,9.451389,82.3,-3,North America/Atlantic Ocean,Panama,Bocas del Toro Province,Bocas del Toro,
B01,BRS-KJ002,6/7/10,BRS2010-101,South of Punta Cauro,Collected with divers,9d26.0'N,82d20.8'W,9.433333,82.335556,-3,North America/Atlantic Ocean,Panama,Bocas del Toro Province,Bocas del Toro,
C01,BRS-KJ003,6/7/10,BRS2010-101,South of Punta Cauro,Collected with divers,9d26.0'N,82d20.8'W,9.433333,82.335556,-3,North America/Atlantic Ocean,Panama,Bocas del Toro Province,Bocas del Toro,
D01,BRS-KJ004,6/7/10,BRS2010-101,South of Punta Cauro,Collected with divers,9d26.0'N,82d20.8'W,9.433333,82.335556,-3,North America/Atlantic Ocean,Panama,Bocas del Toro Province,Bocas del Toro,
E01,BRS-KJ005,6/7/10,BRS2010-101,South of Punta Cauro,Collected with divers,9d26.0'N,82d20.8'W,9.433333,82.335556,-3,North America/Atlantic Ocean,Panama,Bocas del Toro Province,Bocas del Toro,
F01,BRS-KJ006,6/7/10,BRS2010-101,South of Punta Cauro,Collected with divers,9d26.0'N,82d20.8'W,9.433333,82.335556,-3,North America/Atlantic Ocean,Panama,Bocas del Toro Province,Bocas del Toro,
G01,BRS-KJ007,6/8/10,BRS2010-103,Solarte Garden,Collected with divers,9d19.334'N,82d13.290'W,9.409444,82.297222,-5,North America/Atlantic Ocean,Panama,Bocas del Toro Province,Bocas del Toro,
H01,BRS-KJ008,6/8/10,BRS2010-103,Solarte Garden,Collected with divers,9d19.334'N,82d13.290'W,9.409444,82.297222,-5,North America/Atlantic Ocean,Panama,Bocas del Toro Province,Bocas del Toro,
A02,BRS-KJ009,6/8/10,BRS2010-104,Wild Cane Rock,Collected with divers,9d21.016'N,82d10.335'W,9.354444,82.259722,-14,North America/Atlantic Ocean,Panama,Bocas del Toro Province,Bocas del Toro,
B02,BRS-KJ010,6/9/10,BRS2010-106,"Bastimento Island, Old Point",Collected with divers,9d17.175\'N,82d05.065\'W,9.2875,82.101389,,North America/Atlantic Ocean,Panama,Bocas del Toro Province,Bocas del Toro,
