Sample ID,Phylum,Class,Order,Family,Genus,Species,Station ID,#Well,Depths,Salinity,CoordinatesLat,CoordinatesLong,DateOfSampling
A01,Mollusca,Gastropoda,Nudibranchia,Pseudovermidae,Pseudovermis,sp1,3S,1,4,38,7.629505,79.997198,2/23/16
A02,Mollusca,Gastropoda,Caenogastropoda,Caecidae,Caecum,sp1,4,9,4,38,7.414536,80.176523,2/25/16
A03,Mollusca,Gastropoda,Caenogastropoda,Caecidae,Caecum,sp2,12,17,0,38,7.411945,80.173545,2/28/16
A04,Mollusca,Gastropoda,Acochlidia,Microhedylidae,Pontohedyle,sp1,14,25,12,38,7.620714,80.0013,2/29/16
A05,Mollusca,Gastropoda,Acochlidia,Microhedylidae,Pontohedyle,sp1,15,33,16,38,7.63008,80.002171,2/29/16
A06,Mollusca,Gastropoda,Sacoglossa (?),,,sp1,15,41,16,38,7.63008,80.002171,2/29/16
A07,Mollusca,Gastropoda,Caenogastropoda,Caecidae,Caecum,sp1,14,49,12,38,7.620714,80.0013,2/29/16
A08,Mollusca,Gastropoda,Acochlidia,Microhedylidae,Microhedyle,sp1,12,57,0,38,7.411945,80.173545,2/28/16
A09,Mollusca,Gastropoda,Nudibranchia,,,sp1,23S,65,10,38,7.63423,79.997292,3/6/16
A10,Mollusca,Gastropoda,Caenogastropoda,Caecidae,Caecum,sp1,23S,73,10,38,7.63423,79.997292,3/6/16
A11,Mollusca,Gastropoda,Nudibranchia,Pseudovermidae,Pseudovermis,sp1,23S,81,10,38,7.63423,79.997292,3/6/16
A12,Mollusca,Gastropoda,Caenogastropoda,Caecidae,Caecum,sp5,23S,89,10,38,7.63423,79.997292,3/6/16
B01,Mollusca,Gastropoda,Nudibranchia,Pseudovermidae,Pseudovermis,sp1,3S,2,4,38,7.629505,79.997198,2/23/16
B02,Mollusca,Gastropoda,Caenogastropoda,Caecidae,Caecum,sp1,4,10,4,38,7.414536,80.176523,2/25/16
B03,Mollusca,Gastropoda,Nudibranchia,Pseudovermidae,Pseudovermis,sp1,14,18,12,38,7.620714,80.0013,2/29/16
B04,Mollusca,Gastropoda,Acochlidia,Microhedylidae,Pontohedyle,sp1,14,26,12,38,7.620714,80.0013,2/29/16
B05,Mollusca,Gastropoda,Acochlidia,Microhedylidae,Pontohedyle,sp1,15,34,16,38,7.63008,80.002171,2/29/16
B06,Mollusca,Gastropoda,Sacoglossa,Platyhedylidae,Platyhedyle,sp1,15,42,16,38,7.63008,80.002171,2/29/16
B07,Mollusca,Gastropoda,Cephalaspidea,Philinidae,Philine,sp1,14,50,12,38,7.620714,80.0013,2/29/16
B08,Mollusca,Gastropoda,Acochlidia,Microhedylidae,Microhedyle,sp1,12,58,0,38,7.411945,80.173545,2/28/16
B09,Mollusca,Gastropoda,Cephalaspidea,Philinidae,Philine,sp1,23S,66,10,38,7.63423,79.997292,3/6/16
B10,Mollusca,Gastropoda,Caenogastropoda,Caecidae,Caecum,sp2,23S,74,10,38,7.63423,79.997292,3/6/16
B11,Mollusca,Gastropoda,Nudibranchia,Pseudovermidae,Pseudovermis,sp1,23S,82,10,38,7.63423,79.997292,3/6/16
B12,Mollusca,Gastropoda,Cephalaspidae,Philinidae,Philinoglossa,sp1,22B,90,12,38,7.629492,79.995921,3/6/16
C01,Mollusca,Gastropoda,Cephalaspidea,Philinidae,Philie ,sp1,4,3,4,38,7.414536,80.176523,2/25/16
