Sample ID,Phylum,Class,Order,Family,Genus,Species,Station ID,Depths,Salinity,CoordinatesLat,CoordinatesLong,DateofSampling
D02,Xenacoelomorpha,,Acoela ,Dakuidae,Philactinoposthia,sp24,9,0,31,7.427014,80.258043,2/26/16
E02,Xenacoelomorpha,,Acoela ,Dakuidae,Philactinoposthia,sp24,9,0,31,7.427014,80.258043,2/26/16
F02,Xenacoelomorpha,,Acoela ,Dakuidae,Philactinoposthia,sp24,9,0,31,7.427014,80.258043,2/26/16
G02,Xenacoelomorpha,,Acoela ,Dakuidae,Philactinoposthia,sp24,9,0,31,7.427014,80.258043,2/26/16
H02,Xenacoelomorpha,,Acoela ,Dakuidae,Philactinoposthia,sp24,9,0,31,7.427014,80.258043,2/26/16
A03,Xenacoelomorpha,,Acoela ,Mecynostomidae,Eumecynostomum,sp10,12,0,38,7.411945,80.173545,2/28/16
B03,Xenacoelomorpha,,Acoela ,Dakuidae,Philactinoposthia,sp26,12,0,38,7.411945,80.173545,2/28/16
C03,Xenacoelomorpha,,Acoela ,Mecynostomidae,Eumecynostomum,sp12,12,0,38,7.411945,80.173545,2/28/16
A04,Xenacoelomorpha,,Acoela ,Isodiametridae,Avagina,sp3,14,12,38,7.620714,80.0013,2/29/16
B04,Xenacoelomorpha,,Acoela ,Isodiametridae,Avagina,sp3,14,12,38,7.620714,80.0013,2/29/16
C04,Xenacoelomorpha,,Acoela ,Isodiametridae,Avagina,sp3,14,12,38,7.620714,80.0013,2/29/16
F03,Xenacoelomorpha,,Acoela ,Mecynostomidae,Mecynostomum,sp16,14,12,38,7.620714,80.0013,2/29/16
G03,Xenacoelomorpha,,Acoela ,Isodiametridae,Avagina,sp3,14,12,38,7.620714,80.0013,2/29/16
H03,Xenacoelomorpha,,Acoela ,Isodiametridae,Avagina,sp3,14,12,38,7.620714,80.0013,2/29/16
C02,Xenacoelomorpha,,Acoela ,Isodiametridae,Isodiametra,sp19,15,16,38,7.63008,80.002171,2/29/16
D03,Xenacoelomorpha,,Acoela ,Isodiametridae,Isodiametra,sp19,15,16,38,7.63008,80.002171,2/29/16
E03,Xenacoelomorpha,,Acoela ,Solenofilomorphidae ,Endocinta,sp1,15,16,38,7.63008,80.002171,2/29/16
A05,Xenacoelomorpha,,Acoela ,Proporidae,Haplogonaria,sp7,18F,0,38,9.539919,79.675449,3/3/16
D04,Xenacoelomorpha,,Acoela ,Proporidae,Kuma,sp9,18F,0,38,9.539919,79.675449,3/3/16
E04,Xenacoelomorpha,,Acoela ,Proporidae,Kuma,sp9,18F,0,38,9.539919,79.675449,3/3/16
F04,Xenacoelomorpha,,Acoela ,Proporidae,Kuma,sp9,18F,0,38,9.539919,79.675449,3/3/16
G04,Xenacoelomorpha,,Acoela ,Proporidae,Kuma,sp9,18F,0,38,9.539919,79.675449,3/3/16
H04,Xenacoelomorpha,,Acoela ,Proporidae,Kuma,sp9,18F,0,38,9.539919,79.675449,3/3/16
B05,Xenacoelomorpha,,Acoela ,Proporidae,Haploposthia,rubropunctata,22B,12,38,7.629492,79.995921,3/6/16
C05,Xenacoelomorpha,,Acoela ,Proporidae,Haploposthia,rubropunctata,22B,12,38,7.629492,79.995921,3/6/16
D05,Xenacoelomorpha,,Acoela ,Proporidae,Haploposthia,rubropunctata,23c,5,38,7.63423,79.997292,3/6/16
E05,Xenacoelomorpha,,Acoela ,Proporidae,Haploposthia,rubropunctata,23c,5,38,7.63423,79.997292,3/6/16
F01,Xenacoelomorpha,,Acoela ,Proporidae,Kuma,sp7,2I,0,38,7.628122,79.999686,2/23/16
G01,Xenacoelomorpha,,Acoela ,Proporidae,Kuma,sp7,2I,0,38,7.628122,79.999686,2/23/16
A01,Xenacoelomorpha,,Acoela ,Mecynostomidae,Eumecynostomum,sp9,3I,0.5,38,7.629418,79.997519,2/23/16
A02,Xenacoelomorpha,,Acoela ,Mecynostomidae,Eumecynostomum,sp9,3I,0.5,38,7.629418,79.997519,2/23/16
B01,Xenacoelomorpha,,Acoela ,Dakuidae,Philactinoposthia,sp22,3I,0.5,38,7.629418,79.997519,2/23/16
B02,Xenacoelomorpha,,Acoela ,Mecynostomidae,Eumecynostomum,sp10,3I,0.5,38,7.629418,79.997519,2/23/16
C01,Xenacoelomorpha,,Acoela ,Mecynostomidae,Eumecynostomum,sp8,3I,0.5,38,7.629418,79.997519,2/23/16
D01,Xenacoelomorpha,,Acoela ,Mecynostomidae,Eumecynostomum,sp8,3I,0.5,38,7.629418,79.997519,2/23/16
E01,Xenacoelomorpha,,Acoela ,Mecynostomidae,Eumecynostomum,sp8,3I,0.5,38,7.629418,79.997519,2/23/16
H01,Xenacoelomorpha,,Acoela ,Mecynostomidae,Eumecynostomum,sp8,3I,0.5,38,7.629418,79.997519,2/23/16
