Well,Field ID,Collection Date,Exact Site,Collection Method,Latitude,Longitude,Depth,Country/Ocean,State/Province,Region,Sector,Collection Notes,Site Code
A01,JLN1324 77415555,01/14/10,Carry Bow Cay Reef,Collected with divers,16.802,88.079,10,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-1ab
B01,JLN1324 77415555,01/14/10,Carry Bow Cay Reef,Collected with divers,16.802,88.079,10,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-1ab
C01,JLN1324 77415555,01/14/10,Carry Bow Cay Reef,Collected with divers,16.802,88.079,10,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-1ab
D01,JLN1324 77415555,01/14/10,Carry Bow Cay Reef,Collected with divers,16.802,88.079,10,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-1ab
E01,JLN1324 77415555,01/14/10,Carry Bow Cay Reef,Collected with divers,16.802,88.079,10,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-1ab
F01,JLN1323 stn 1ab,01/14/10,Carry Bow Cay Reef,Collected with divers,16.802,88.079,10,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-1ab
G01,JLN1323 stn 1ab,01/14/10,Carry Bow Cay Reef,Collected with divers,16.802,88.079,10,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-1ab
H01,JLN1323 stn 1ab,01/14/10,Carry Bow Cay Reef,Collected with divers,16.802,88.079,10,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-1ab
A02,JLN1323 stn 1ab,01/14/10,Carry Bow Cay Reef,Collected with divers,16.802,88.079,10,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-1ab
B02,JLN1323 stn 1ab,01/14/10,Carry Bow Cay Reef,Collected with divers,16.802,88.079,10,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-1ab
C02,JLN1331 Stn 4,01/16/10,Carry Bow Cay Reef,Collected with divers,16.804,88.077,15,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-4
D02,JLN1332 Stn 4,01/16/10,Carry Bow Cay Reef,Collected with divers,16.804,88.077,15,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-4
E02,JLN1331 Stn 4,01/16/10,Carry Bow Cay Reef,Collected with divers,16.804,88.077,15,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-4
F02,JLN1332 Stn 4,01/16/10,Carry Bow Cay Reef,Collected with divers,16.804,88.077,15,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-4
G02,JLN1331 Stn 4,01/16/10,Carry Bow Cay Reef,Collected with divers,16.804,88.077,15,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-4
H02,JLN1331 Stn 4,01/16/10,Carry Bow Cay Reef,Collected with divers,16.804,88.077,15,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-4
A03,JLN1334 Stn 10 Cephalo,01/20/10,Carry Bow Cay Reef,Collected with divers,16.802,88.077,30,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-10
B03,JLN1332 Stn 7,01/19/10,Carry Bow Cay Reef,Collected with divers,16.802,88.080,35,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-7
C03,JLN1335 Stn  7,01/19/10,Carry Bow Cay Reef,Collected with divers,16.802,88.080,"3,5",North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-7
D03,1335.011710.01 Stn 5,01/17/10,Carry Bow Cay Beach,Collected with divers,,,"2,3",North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-5
E03,JLN1335.011710.02 Stn 5,01/17/10,Carry Bow Cay Beach,Collected with divers,,,"2,3",North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-5
F03,JLN1335 Stn 5,01/17/10,Carry Bow Cay Beach,Collected with divers,,,"2,3",North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-5
G03,JLN1335 Stn 5,01/17/10,Carry Bow Cay Beach,Collected with divers,,,"2,3",North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-5
H03,JLN1338 Stn 5,01/17/10,Carry Bow Cay Beach,Collected with divers,,,"2,3",North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-5
A04,JLN1339 Stn 9,01/20/10,East of Carry Bow Cay Beach,Collected with divers,16.802,88.077,14,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-9
B04,1335.011910.01 Stn 9,01/20/10,East of Carry Bow Cay Beach,Collected with divers,16.802,88.077,14,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-9
C04,1341.011910.01 Stn 8,01/19/10,Curlew Reef,Collected with divers,16.790,88.079,2,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-8
D04,1341.011910.02 Stn 8,01/19/10,Curlew Reef,Collected with divers,16.790,88.079,2,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-8
E04,1341.011910.03 Stn 8,01/19/10,Curlew Reef,Collected with divers,16.790,88.079,2,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-8
F04,1341.011910.04 Stn 8,01/19/10,Curlew Reef,Collected with divers,16.790,88.079,2,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-8
G04,1341.011910.05 Stn 8,01/19/10,Curlew Reef,Collected with divers,16.790,88.079,2,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-8
H04,1335.011910.02 Stn 8,01/19/10,Curlew Reef,Collected with divers,16.790,88.079,2,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-8
A05,JLN1331 Stn 12,01/21/10,Carry Bow Cay Beach,Collected on beach,16.803,88.082,0,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected on beach,CBC2010-12
B05,JLN1331 Stn 12,01/21/10,Carry Bow Cay Beach,Collected on beach,16.803,88.082,0,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected on beach,CBC2010-12
C05,JLN1331 Stn 12,01/21/10,Carry Bow Cay Beach,Collected on beach,16.803,88.082,0,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected on beach,CBC2010-12
D05,JLN1331 Stn 12,01/21/10,Carry Bow Cay Beach,Collected on beach,16.803,88.082,0,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected on beach,CBC2010-12
E05,JLN1331 Stn 12,01/21/10,Carry Bow Cay Beach,Collected on beach,16.803,88.082,0,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected on beach,CBC2010-12
F05,JLN1342 Stn 3,01/15/10,Curlew Reef,Collected with divers,16.804,88.077,31,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-3
G05,1335.011810.01 Stn 6,01/18/10,Carry Bow Cay Beach,Collected on beach,16.803,88.082,"0,0.1",North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected on beach,CBC2010-6
H05,JLN1331 Stn 6,01/18/10,Carry Bow Cay Beach,Collected on beach,16.803,88.082,"0,0.1",North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected on beach,CBC2010-6
A06,JLN1331 Stn 6,01/18/10,Carry Bow Cay Beach,Collected on beach,16.803,88.082,"0,0.1",North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected on beach,CBC2010-6
B06,JLN1332 Stn 12,01/21/10,Carry Bow Cay Beach,Collected on beach,16.803,88.082,0,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected on beach,CBC2010-12
C06,JLN1338 Stn 18,01/18/10,South Water Cay Beach,Collected on beach,,,"0.05,0.1",North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected on beach,CBC2010-18
D06,JLN1338 Stn 18,01/18/10,South Water Cay Beach,Collected on beach,,,"0.05,0.1",North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected on beach,CBC2010-18
E06,JLN1338 Stn 18,01/18/10,South Water Cay Beach,Collected on beach,,,"0.05,0.1",North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected on beach,CBC2010-18
F06,JLN1331 Stn 18,01/18/10,South Water Cay Beach,Collected on beach,,,"0.05,0.1",North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected on beach,CBC2010-18
G06,JLN1332 Stn 18,01/18/10,South Water Cay Beach,Collected on beach,,,"0.05,0.1",North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected on beach,CBC2010-18
H06,JLN1331 Stn 16,01/23/10,South Water Cay Beach,Collected on beach,,,0,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected on beach,CBC2010-16
