Sample ID,Phylum,Class,Order,Family,Genus,species,Identifier,Plate ID,Station ID,#Barcode,18S,Depths,Salinity,CoordinatesLat,CoordinatesLong
A01,Platyhelminthes,Rhabditophora ,Lecithoepitheliata ,Gnosonesimidae ,Gnosonesima,,TArtois,FG01,3S,199440863,YES,4,38,7.629505,79.997198
B01,Nemertea,Palaeonemertea ,,Cephalotrichidae,Cephalothrix,sp,JNorenburg,FG01,4,199440840,YES,4,38,7.414536,80.176523
C01,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,macintoshi,JNorenburg,FG01,NA,199440839,YES,NA,NA,NA,NA
D01,Nemertea,Enopla,Monostilifera ,,"""Posterior 2-eye""",sp,JNorenburg,FG01,10,199440816,YES,3,36,7.431466,80.196173
E01,Nemertea,Paleonemertea,,Carinomidae?,Carinoma?,"""2-eye""",JNorenburg,FG01,10,199440815,YES,3,36,7.431466,80.196173
F01,Nemertea,Enopla,Monostilifera ,,"""Posterior 2-eye""",sp,JNorenburg,FG01,10,199440792,YES,3,36,7.431466,80.196173
G01,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,fila,JNorenburg,FG01,1B,199440791,YES,0,38,7.413194,80.173649
H01,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,duplex,JNorenburg,FG01,1B,199440768,YES,0,38,7.413194,80.173649
A02,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,duplex,JNorenburg,FG01,1A,199440862,YES,0,38,7.413194,80.173649
B02,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,duplex,JNorenburg,FG01,1A,199440841,YES,0,38,7.413194,80.173649
C02,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,duplex,JNorenburg,FG01,1A,199440838,YES,0,38,7.413194,80.173649
D02,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,fila,JNorenburg,FG01,1A,199440817,YES,0,38,7.413194,80.173649
E02,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,lactea,JNorenburg,FG01,1A,199440814,YES,0,38,7.413194,80.173649
F02,Nemertea,Enopla,Monostilifera ,Tetrastemmatidae,"""Tetrastemma""",sp,JNorenburg,FG01,13,199440793,YES,0,40,7.413194,80.172282
H02,Nemertea,Enopla,Monostilifera ,,Poseidonemertes,sp,JNorenburg,FG01,14,199440769,YES,12,38,7.620714,80.0013
A03,Nemertea,Paleonemertea,,Cephalotrichidae,Cephalothrix,"""interstitial""",JNorenburg,FG01,14,199440861,YES,12,38,7.620714,80.0013
B03,Nemertea,Paleonemertea,,Tubulanidae,Tubulanus,sp,JNorenburg,FG01,14,199440842,YES,12,38,7.620714,80.0013
C03,Nemertea,Enopla,Monostilifera ,,Poseidonemertes,sp,JNorenburg,FG01,15,199440837,YES,16,38,7.63008,80.002171
D03,Nemertea,Enopla,Monostilifera ,,Poseidonemertes,sp,JNorenburg,FG01,15,199440818,YES,16,38,7.63008,80.002171
E03,Nemertea,Paleonemertea,,Tubulanidae,Carinomella?,sp,JNorenburg,FG01,15,199440813,YES,16,38,7.63008,80.002171
F03,Nemertea,Pilidiophora,,Lineidae,"""Juvenile""",sp,JNorenburg,FG01,15,199440794,NO,16,38,7.63008,80.002171
G03,Nemertea,Pilidiophora,,Lineidae,"""cirrus""","""juvenile""",JNorenburg,FG01,15,199440789,YES,16,38,7.63008,80.002171
H03,Nemertea,Paleonemertea,,Carinomidae?,Carinoma?,sp,JNorenburg,FG01,15,199440770,YES,16,38,7.63008,80.002171
A04,Nemertea,Enopla,Monostilifera ,,Poseidonemertes,,JNorenburg,FG01,15,199440860,YES,16,38,7.63008,80.002171
B04,Nemertea,Pilidiophora,,,Riserius,sp,JNorenburg,FG01,15,199440843,NO,16,38,7.63008,80.002171
C04,Annelida,Polychaeta,,Protodrilidae ,Protodrilus,,JNorenburg,FG01,14,199440836,YES,12,38,7.620714,80.0013
D04,Nemertea,Enopla,Monostilifera ,Tetrastemmatidae ,Prostomatella?,sp,JNorenburg,FG01,14,199440819,YES,12,38,7.620714,80.0013
E04,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,14,199440812,YES,12,38,7.620714,80.0013
F04,Annelida,Polychaeta,,,"""palp or tentacle""",,JNorenburg,FG01,15,199440795,YES,16,38,7.63008,80.002171
G04,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,14,199440788,YES,12,38,7.620714,80.0013
H04,Nemertea,Enopla,Monostilifera ,,Poseidonemertes?,sp,JNorenburg,FG01,14,199440771,YES,12,38,7.620714,80.0013
A05,Nemertea,Paleonemertea,,,,,JNorenburg,FG01,14,199440859,YES,12,38,7.620714,80.0013
