PlateNum	Well	FieldID	StationID	Date	LocationDescription	ExactSite	Collection Method	Depth	Salinity	Latitude	Longitude	Country.Ocean	State.Province	Region	Sector	DepthsDescription	HabitatDescrip	TideDescription	TideDepth.meters	MeanGrainSize	Sorting	Skewness	Kurtosis	fingerprint
1	A01	CBC-KJ-1Stn1b		1/14/10	"CBC Reef, open plain"	Carry Bow Cay Reef	Collected with divers	10		16.802	88.079	North and Central America/Caribbean Sea	Belize	Belize	Carry Bow Cay									1.A01
1	B01	CBC-KJ-2Stn1a		1/14/10	"CBC Reef,  sheltered, within a foot distance from coral overhangs"	Carry Bow Cay Reef	Collected with divers	10		16.802	88.079	North and Central America/Caribbean Sea	Belize	Belize	Carry Bow Cay									1.B01
1	C01	CBC-KJ-3Stn1b		1/14/10	"CBC Reef, open plain"	Carry Bow Cay Reef	Collected with divers	10		16.802	88.079	North and Central America/Caribbean Sea	Belize	Belize	Carry Bow Cay									1.C01
1	D01	CBC-KJ-3Stn1b		1/14/10	"CBC Reef, open plain"	Carry Bow Cay Reef	Collected with divers	10		16.802	88.079	North and Central America/Caribbean Sea	Belize	Belize	Carry Bow Cay	intertidal	"medium-coarse sand and ripple marks close to swash zone, small waves"	low tide	0.6					1.D01
1	E01	CBC-KJ-3Stn1b		1/14/10	"CBC Reef, open plain"	Carry Bow Cay Reef	Collected with divers	10		16.802	88.079	North and Central America/Caribbean Sea	Belize	Belize	Carry Bow Cay	intertidal	"Coraline sand, very coarse to medium"	low tide	0.5					1.E01
1	F01	CBC-KJ-3Stn1b		1/14/10	"CBC Reef, open plain"	Carry Bow Cay Reef	Collected with divers	10		16.802	88.079	North and Central America/Caribbean Sea	Belize	Belize	Carry Bow Cay	intertidal	"Coraline sand, very coarse to medium"	low tide	0.5					1.F01
1	G01	CBC-KJ-3Stn1b		1/14/10	"CBC Reef, open plain"	Carry Bow Cay Reef	Collected with divers	10		16.802	88.079	North and Central America/Caribbean Sea	Belize	Belize	Carry Bow Cay									1.G01
1	H01	CBC-KJ-3Stn1b		1/14/10	"CBC Reef, open plain"	Carry Bow Cay Reef	Collected with divers	10		16.802	88.079	North and Central America/Caribbean Sea	Belize	Belize	Carry Bow Cay									1.H01
1	A02	CBC-KJ-4Stn1b		1/14/10	"CBC Reef, open plain"	Carry Bow Cay Reef	Collected with divers	10		16.802	88.079	North and Central America/Caribbean Sea	Belize	Belize	Carry Bow Cay									1.A02
1	B02	CBC-KJ-5Stn1b		1/14/10	"CBC Reef, open plain"	Carry Bow Cay Reef	Collected with divers	10		16.802	88.079	North and Central America/Caribbean Sea	Belize	Belize	Carry Bow Cay									1.B02
